"url","category","subcategory","product_number"
"http://www.centralhobbies.com/control_linkage/pushrod1.htm","Control Linkage","Pushrods","CHMROD12"
"http://www.centralhobbies.com/control_linkage/pushrod1.htm","Control Linkage","Pushrods","CHMROD24"
"http://www.centralhobbies.com/control_linkage/pushrod1.htm","Control Linkage","Pushrods","CHMROD35"
"http://www.centralhobbies.com/control_linkage/pushrod1.htm","Control Linkage","Pushrods","CHMROD36"
"http://www.centralhobbies.com/control_linkage/pushrod1.htm","Control Linkage","Pushrods","CHMROD38"
"http://www.centralhobbies.com/control_linkage/pushrod1.htm","Control Linkage","Pushrods","CHMROD48"
"http://www.centralhobbies.com/control_linkage/pushrod2.htm","Control Linkage","Pushrod Sets","CHMPRS24T2"
"http://www.centralhobbies.com/control_linkage/pushrod2.htm","Control Linkage","Pushrod Sets","CHMPRS24T4"
"http://www.centralhobbies.com/control_linkage/pushrod2.htm","Control Linkage","Pushrod Sets","CHMPRS24M2"
"http://www.centralhobbies.com/control_linkage/pushrod2.htm","Control Linkage","Pushrod Sets","CHMPS24M25"
"http://www.centralhobbies.com/control_linkage/pushrod2.htm","Control Linkage","Pushrod Sets","CHMPRS24M3"
"http://www.centralhobbies.com/control_linkage/pushrod2.htm","Control Linkage","Pushrod Sets","CHMPRS35M2"
"http://www.centralhobbies.com/control_linkage/pushrod2.htm","Control Linkage","Pushrod Sets","CHMPS35M25"
"http://www.centralhobbies.com/control_linkage/pushrod2.htm","Control Linkage","Pushrod Sets","CHMPRS35T2"
"http://www.centralhobbies.com/control_linkage/pushrod2.htm","Control Linkage","Pushrod Sets","CHMPS36M25"
"http://www.centralhobbies.com/control_linkage/pushrod2.htm","Control Linkage","Pushrod Sets","CHMPRS36M3"
"http://www.centralhobbies.com/control_linkage/pushrod2.htm","Control Linkage","Pushrod Sets","CHMPRS36T4"
"http://www.centralhobbies.com/control_linkage/pushrod2.htm","Control Linkage","Pushrod Sets","CHMPRS38M3"
"http://www.centralhobbies.com/control_linkage/pushrod2.htm","Control Linkage","Pushrod Sets","CHMPRS38T6"
"http://www.centralhobbies.com/control_linkage/pushrod2.htm","Control Linkage","Pushrod Sets","CHMPRS38T4"
"http://centralhobbies.com/dubro/dubro001.htm","Dubro Products","Dubro Products","DUB102"
"http://centralhobbies.com/dubro/dubro001.htm","Dubro Products","Dubro Products","DUB108"
"http://centralhobbies.com/dubro/dubro001.htm","Dubro Products","Dubro Products","DUB109"
"http://centralhobbies.com/dubro/dubro001.htm","Dubro Products","Dubro Products","DUB112"
"http://centralhobbies.com/dubro/dubro001.htm","Dubro Products","Dubro Products","DUB113"
